ID,pop,age_yrs,EB,mass_2021,mass_2022
45500 ,TZ,12,1,70.6,90.7
45502 ,TZ,12,1,53.6,72.1
50624 ,TZ,6,1,57.8,90.8
50626 ,TZ,6,1,45.8,61.9
50628 ,TZ,4,1,72.6,94.7
50631 ,TZ,4,1,77.5,104.2
50637 ,TZ,3,1,36.2,53.3
50638 ,TZ,3,1,40.5,58
982000405718886 ,GVZ,,1,55.1,53
982000405718896 ,GVZ,,1,43.1,58.3
982000405718899 ,GVZ,,1,43.7,44.8
982000405718903 ,GVZ,,1,55.2,53.4
982000405718906 ,GVZ,,1,42.9,72.1
982000405718936 ,GVZ,,1,33.2,46.1
982000405718943 ,GVZ,,1,39.4,78.4
982000405718954 ,GVZ,,1,41.6,53.4
982000405718960 ,GVZ,,1,38.6,38
982000405718975 ,GVZ,,1,56.3,68
982000406275045 ,GVZ,2,1,24.2,61.7
982000406275166 ,GVZ,2,1,29.7,56.9
982000406275219 ,GVZ,2,1,25,42.2
982000406275573 ,GVZ,,1,38.4,38.8
982000406275582 ,GVZ,,1,35.5,43.7
982000406275601 ,GVZ,,1,39.4,62.1
982000406275605 ,GVZ,,1,34.1,49
982000406275625 ,GVZ,,1,28.6,39
982000406276914 ,GVZ,2,1,27.4,50.4
982091062767464 ,GVZ,2,1,29.1,43.6
982091062767466 ,GVZ,2,1,29.4,51.2
982091062767471 ,GVZ,2,0,21.6,36.7
982091062767483 ,GVZ,2,0,27.8,49
982091062767487 ,GVZ,2,1,21,36.2
982091062767497 ,GVZ,2,0,30.3,47.2
982091062767503 ,GVZ,2,1,24.2,42.1
982091062767506 ,GVZ,2,1,27.4,37.1
982091062767510 ,GVZ,2,1,24.1,44.7
982091062767525 ,GVZ,2,1,29.6,81.5
982091062767530 ,GVZ,2,1,24.6,49.8
982091062767538 ,GVZ,2,1,27.4,45.7
982091062767544 ,GVZ,2,1,36.8,46.3
982091062767556 ,GVZ,2,1,26.8,48.3
982091062969331 ,GVZ,,1,42.7,67.4
982091062969340 ,GVZ,,1,28.5,42.3
982091062969363 ,GVZ,,1,32.1,50.9
982091062969372 ,GVZ,,1,46.7,49.3
982091062969392 ,GVZ,,1,41.7,44.1
982000359368836 ,MV,,1,62.4,69.1
982091062767733 ,MV,,1,57.6,69
982091062767759 ,CH,1,1,36.6,58.8
2019 CBEM08-02,VA,2,0,27.44,50.57
2019 CBEM08-03,VA,2,1,23.41,21.11
2019 CBEM08-04,VA,2,1,26.06,44.75
2019 CBEM08-05,VA,2,0,26.16,35.53
2019 CBEM08-07,VA,2,0,21.99,26.08
2019 CBEM08-08,VA,2,0,23.65,23.89
2019 CBEM08-09,VA,2,0,23.86,27.86
2019 CBEM21-03,VA,2,0,24.74,31.97
2019 CBEM21-05,VA,2,1,26.31,36.00
2019 CBEM21-09,VA,2,1,25.14,36.10
2019 WCEM01-01,VA,2,1,18.12,15.38
2019 WCEM01-02,VA,2,1,21.56,17.65
2019 WCEM02-04,VA,2,1,21.66,30.45
2019 WCEM02-05,VA,2,1,23.07,31.25
2019 WCEM03-01,VA,2,1,25.59,36.68
