frog_id,pop,age,birth_yr,avg_mass,avg_SVL
982000359368768,MV,,,54.5,74.0
982000359368769,MV,,,21.0,56.0
982000359368776,MS,,,44.8,68.0
982000359368777,MV,,,34.4,63.5
982000359368782,MV,,,28.2,63.0
982000359368791,MV,,,46.2,74.0
982000359368792,MS,,,53.8,74.0
982000359368810,MV,,,22.4,63.0
982000359368817,MV,,,48.4,70.3
982000359368825,MS,,,50.7,70.3
982000359368827,MV,,,25.0,60.0
982000359368833,MV,,,38.5,69.0
982000359368836,MV,,,62.4,77.0
982000359368837,MV,,,33.3,64.0
982000359368838,MV,,,28.7,60.0
982000359368859,MV,,,49.8,74.0
982000359368867,MS,,,35.9,59.0
982000364991764,MS,,,28.7,68.0
982000365991381,MS,,,43.9,81.0
982000365991384,MS,,,41.1,74.5
982000365991386,MS,,,47.9,85.0
982000365991389,MS,,,25.7,68.0
982000365991395,MS,,,36.5,78.0
982000365991410,MS,,,49.2,82.0
982000365991412,MS,,,47.2,78.0
982000365991415,MS,,,49.0,84.0
982000365991421,MS,,,40.3,75.3
982000365991422,MS,,,20.8,63.0
982000365991423,MS,,,46.8,84.0
982000365991430,MS,,,48.4,83.0
982000365991442,MS,,,41.7,79.0
982000365991449,MS,,,48.6,84.0
982000365991458,MS,,,35.8,84.0
982000365991473,MS,,,47.9,93.0
982000365991482,MV,,,40.0,65.0
982000365991521,MV,,,26.9,59.0
982000365991524,MV,,,24.5,60.0
982000365991531,MV,,,21.5,60.0
982000365991543,MV,,,26.0,60.0
982000365991544,MV,,,50.9,86.0
982000365991549,MV,,,44.6,68.3
982000365991550,MV,,,37.1,63.0
982000365991553,MV,,,55.9,73.0
982000365991555,MV,,,64.8,89.0
982000365991565,MV,,,28.1,57.5
982000365991566,MV,,,68.9,81.0
982000365991571,MV,,,26.4,60.0
982000365991577,MV,,,44.4,72.0
982000365991579,MV,,,31.1,64.0
982000365991583,MS,,,42.4,67.0
982000365991587,MS,,,23.3,62.5
982000365991588,MV,,,41.2,72.0
982000365991589,MV,,,33.7,65.0
982000365991592,MV,,,42.8,82.0
982000365991599,MV,,,47.2,84.0
982000365991602,MV,,,33.5,72.0
982000365991604,MV,,,29.6,66.0
982000365991609,MV,,,25.9,68.0
982000365991624,MS,,,21.8,68.5
982000365991635,MV,,,35.4,65.0
982000365991651,MS,,,25.7,72.0
982000365991652,MV,,,20.8,58.5
982000365991655,MV,,,39.9,79.0
982000365991657,MV,,,34.0,73.0
982000365991681,MV,,,57.0,76.0
982000365991682,MS,,,19.7,61.0
982000365991692,MS,,,42.5,90.0
982000365991696,MV,,,26.4,61.0
982000365991697,MS,,,24.2,57.0
982000365991716,MS,,,33.7,74.0
982000365991718,MS,,,29.5,62.0
982000365991722,MV,,,52.5,70.0
982000365991737,MS,,,35.9,71.0
982000365991752,MS,,,59.7,94.0
982000365991756,MS,,,32.9,73.8
982000365991757,MS,,,37.5,67.0
982000365991760,MV,,,35.7,64.0
982000365991764,MS,,,28.1,68.5
982000365991769,MS,,,43.9,76.0
982000365991770,MV,,,20.0,55.0
982000365991774,MV,,,26.4,59.0
982000406274967,MV,,,28.6,61.0
982000406274975,MV,,,31.3,64.0
982000406274978,MV,,,56.2,71.5
982000406274979,MV,,,61.1,77.0
982000406274984,MV,,,53.3,71.0
982000406274985,MV,,,18.9,55.0
982000406274991,MV,,,61.9,76.0
982000406275003,MV,,,32.3,66.0
982000406275007,MV,,,35.0,67.0
982000406275010,MV,,,22.2,60.0
982000406275019,MV,,,37.1,65.0
982000406275020,MV,,,29.4,61.0
982000406275022,MV,,,83.4,86.0
982000406275029,MV,,,50.9,71.0
982000406275040,MV,,,25.5,64.0
982000406275041,MV,,,34.4,68.0
982000406275169,MV,,,48.0,74.0
982000406275172,MS,2,2019,33.6,63.0
982000406275179,MV,,,31.6,61.0
