frog_id,pop,source,birth_site,birth_type,birth_yr,death_yr,EB,mass0,sul0,mass1,sul1,mass2,sul2,mass3,sul3,mass4,sul4,mass5,sul5,mass6,sul6,mass7,sul7,mass8,sul8,mass9,sul9,mass10,sul10,mass11
2007 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2007,unknown,1,,,,,,,,,,,61.4,71,,,,,,,,,,,
2007 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2007,unknown,1,,,,,,,,,,,65.3,69,,,,,,,,,,,
2007 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2007,unknown,1,,,,,,,,,,,71.4,78,,,,,,,,,,,
2007 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2007,2015,1,,,,,,,,,,,,,108.3,78,108.97,82,,,,,,,
2008 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2008,2018,0,,,,,,,,,,,84.9,77,92.76,75,,,108.07,77.4,106.38,74.3,,,
2009 GRP 2-02,VA,Mountain,MT,Wild Caught,2009,NA,1,,,,,69.9,73,83.7,58.8,89,80,,,93.56,76.7,89.87,76,90.8,70,97.5,70.7,76.6,79.6,66.22
2009 MARIA SLOUGH A1,VA,Maria,MS,Wild Caught,2009,2016,1,,,,,51.8,65,68.8,55,71.4,67.3,,,100.09,74.5,,,,,,,,,
2009 MARIA SLOUGH A2,VA,Maria,MS,Wild Caught,2009,2016,1,,,,,,,66.1,53.2,53.2,68.8,,,,,,,,,,,,,
2009 MARIA SLOUGH A3,VA,Maria,MS,Wild Caught,2009,2016,1,,,,,41.2,63,72.6,52.5,69.5,70,,,86.81,75.7,,,,,,,,,
2009 MARIA SLOUGH A4,VA,Maria,MS,Wild Caught,2009,2016,1,,,,,,,71.6,55.5,68.5,70.3,,,,,,,,,,,,,
2009 MARIA SLOUGH A5,VA,Maria,MS,Wild Caught,2009,unknown,1,,,,,41.3,62,68.9,56,67.7,71.9,,,86.81,78.2,89.1,75.4,,,,,,,
2009 MARIA SLOUGH A6,VA,Maria,MS,Wild Caught,2009,2017,0,,,,,,,37.4,55,70.1,56.2,66.7,69.9,,,95.61,79,,,,,,,
2009 MARIA SLOUGH A7,VA,Maria,MS,Wild Caught,2009,2015,1,,,,,,,75.3,56,66.4,71.1,,,,,,,,,,,,,
2009 MARIA SLOUGH A8,VA,Maria,MS,Wild Caught,2009,2014,1,,,,,36.3,61,78.9,56.2,,,,,,,,,,,,,,,
2009 MOUNTAIN SLOUGH GRP 1,VA,Mountain,MT,Wild Caught,2009,2014,1,,,,,37.2,56,,,,,,,,,,,,,,,,,
2009 MOUNTAIN SLOUGH GRP 1,VA,Mountain,MT,Wild Caught,2009,2014,1,,,,,41.4,60,,,,,,,,,,,,,,,,,
2009 MOUNTAIN SLOUGH GRP 3,VA,Mountain,MT,Wild Caught,2009,2014,1,,,,,,,74,55,,,,,,,,,,,,,,,
2010 EM01 - 1,VA,Mountain,MT,Wild Caught,2010,unknown,1,,,,,28.6,55,,,,,,,,,,,,,,,,,
2010 EM01 - 2,VA,Mountain,MT,Wild Caught,2010,unknown,1,,,,,26.6,57,,,,,,,,,,,,,,,,,
2010 EM01 - 3,VA,Mountain,MT,Wild Caught,2010,unknown,1,,,,,26.4,53,,,,,,,,,,,,,,,,,
2010 EM01 - 5?,VA,Mountain,MT,Wild Caught,2010,unknown,1,,,,,11.1,49,,,,,,,,,,,,,,,,,
2010 EM01 - 6?,VA,Mountain,MT,Wild Caught,2010,unknown,1,,,,,9.8,44,,,,,,,,,,,,,,,,,
2010 EM01 - 7,VA,Mountain,MT,Wild Caught,2010,unknown,1,,,,,26.8,58,,,,,,,,,,,,,,,,,
2010 EM02-03,VA,Morris,MV,Wild Caught,2010,2014,0,,,,,,,51.8,52,,,,,,,,,,,,,,,
2010 EM03 - 4,VA,Mountain,MT,Wild Caught,2010,2013,0,,,,,27.4,54,,,,,,,,,,,,,,,,,
2010 EM04 - 1,VA,Mountain,MT,Wild Caught,2010,2016,1,,,,,35.7,53,25.1,51,,,,,,,,,,,,,,,
2010 EM05 - 2,VA,Mountain,MT,Wild Caught,2010,2014,1,,,,,37.6,61,69.4,57.1,,,,,,,,,,,,,,,
2010 EM05-02,VA,Morris,MV,Wild Caught,2010,unknown,1,,,,,,,44.7,41,,,,,,,,,,,,,,,
2010 EM06,VA,Mountain,MT,Wild Caught,2010,2015,0,,,,,,,56.6,53,60.8,64.4,,,,,,,,,,,,,
2010 EM09,VA,Mountain,MT,Wild Caught,2010,2015,0,,,,,,,53.8,52.5,57.7,61.4,,,,,,,,,,,,,
2010 EMO3-01,VA,Morris,MV,Wild Caught,2010,unknown,1,,,,,,,55.6,54,,,,,,,,,,,,,,,
2011 #1-01,VA,Morris,MV,Wild Caught,2011,2015,0,,,10.4,41,21,51,38.44,61.3,,,,,,,,,,,,,,,
2011 #2-01,VA,Morris,MV,Wild Caught,2011,unknown,1,,,5.5,34,15.2,42,19.58,43.7,,,43.19,54.9,,,,,,,,,,,
2011 #2-02,VA,Morris,MV,Wild Caught,2011,2016,1,,,7.7,34,10.1,42,13.71,45.2,,,32.56,54.3,48.8,55.6,,,,,,,,,
2011 #3-01,VA,Morris,MV,Wild Caught,2011,2015,0,,,3.9,30,31.7,59,40.55,60.1,,,,,,,,,,,,,,,
2011 #3-03,VA,Morris,MV,Wild Caught,2011,2016,1,,,5.2,32,9.2,39,8.38,40.7,,,,,,,,,,,,,,,
2011 #5-01,VA,Morris,MV,Wild Caught,2011,,0,,,9.9,41,13.4,45,23.51,52.2,,,,,,,,,,,,,,,
2011 #5-05,VA,Morris,MV,Wild Caught,2011,,0,,,6.4,34,19.2,49,34.59,55.6,,,,,,,,,,,,,,,
2011 CB TANK 2 #3-01,VA,Maria,VA,Captive Bred,2011,2015,0,,,,,,,40.7,67,49.2,60.6,,,,,,,,,,,,,
2011 CB TANK 6-01,VA,Maria,VA,Captive Bred,2011,2015,0,,,8.8,41,26.2,55,48,65,,,,,,,,,,,,,,,
2011 CB TANK 7-#1-02/03,VA,Maria,VA,Captive Bred,2011,2015,0,,,7.7,39,47.8,64,59.17,67,,,,,,,,,,,,,,,
2011 CBGHA#7-03,VA,Maria,VA,Captive Bred,2011,2021,0,,,10.4,43,43.6,66,57.05,71,,,101.64,75.9,113.17,77.7,123.66,71.9,121.8,72.5,93.82,84,,,
2011 MOUNTAIN SLOUGH #1 -2,VA,Mountain,MT,Wild Caught,2011,2015,0,,,11.7,41,29.8,53,33.94,57.2,,,,,,,,,,,,,,,
2011 MOUNTAIN SLOUGH #1 -3,VA,Mountain,MT,Wild Caught,2011,unknown,1,,,6.4,38,13.5,45,16.84,48.3,,,54.19,64.3,67.4,60,,,,,,,,,
2011 MOUNTAIN SLOUGH #3 -2,VA,Mountain,MT,Wild Caught,2011,unknown,,,,5.8,36,16.6,52,32.39,56.9,,,58.58,62.5,66.85,63.3,,,,,,,,,
2011 MOUNTAIN SLOUGH #3 -4,VA,Mountain,MT,Wild Caught,2011,unknown,,,,7.8,39,22.8,54,25.39,57.9,,,59.41,64.4,69.48,62.4,,,,,,,,,
2012 07/08 UNKNOWN-01,VA,Maria,VA,Captive Bred,2012,unknown,1,1.4,22,6.5,27.5,30.5,61,,,47.07,68.5,101.35,72.5,,,,,,,,,,,
2012 07/08 UNKNOWN-03,VA,Maria,VA,Captive Bred,2012,unknown,1,3.6,30,12.2,34,15.3,51,,,78.32,72.8,51.43,64.8,,,,,,,,,,,
2012 CBEM01 GRP3-04,VA,Maria x Mountain,VA,Captive Bred,2012,2015,0,4.8,34,10.7,32.1,28.6,58,,,,,,,,,,,,,,,,,
2012 CBEM03 GRP2-01,VA,Maria x Mountain,VA,Captive Bred,2012,unknown,1,4.2,32,5.9,24.8,27.8,61,,,65.43,73.1,96.05,68.7,,,,,,,,,,,
2012 CBEM03 GRP2-02,VA,Maria x Mountain,VA,Captive Bred,2012,2015,0,3.2,33,8.4,30,16.5,56,,,,,,,,,,,,,,,,,
2012 CBEM04-01,VA,Maria x Mountain,VA,Captive Bred,2012,2018,1,3.3,33,4.7,23.5,6.7,42,,,45.77,67.9,57.76,75.2,,,,,,,,,,,
2012 WCEM04-01,VA,Mountain,MT,Wild Caught,2012,2020,0,4.6,32,10.5,44,29.17,57.8,,,63.04,66.4,71.22,69.7,79.3,62.1,78.9,61.5,,,,,,,
2012 WCEM04-02,VA,Mountain,MT,Wild Caught,2012,2016,0,4.7,33,11.6,42.5,19.73,51.3,,,,,,,,,,,,,,,,,
2012 WCEM05-01,VA,Mountain,MT,Wild Caught,2012,unknown,1,3.8,29,17.15,51,15.58,48.5,,,59.89,71,65.68,62.3,,,,,,,,,,,
2012 WCEM05-02,VA,Mountain,MT,Wild Caught,2012,2015,0,5.7,39,6.9,39,34.19,58.2,,,,,,,,,,,,,,,,,
2012 WCEM08-01,VA,Morris,MV,Wild Caught,2012,2017,1,4.6,32,9.6,45,27.23,55.2,,,87.06,77,,,,,,,,,,,,,
2012 WCEM08-02,VA,Morris,MV,Wild Caught,2012,2021,1,,,,,,,,,,,88.04,72.2,90.5,73.8,82.6,62.4,40.21,77.1,,,,,
2012 WCEM09-01,VA,Morris,MV,Wild Caught,2012,2016,1,4.6,31,8.02,41,20.25,50,,,,,,,,,,,,,,,,,
2012 WCEM09-02,VA,Morris,MV,Wild Caught,2012,2022,0,4.3,31,8.4,43.5,14.09,46.7,,,60.34,66.8,76.12,69.9,84,58.9,79.4,65.3,72.4,75.1,77.95,,,,
2013 CBGHB#10-01,VA,Mountain,VA,Captive Bred,2013,2017,0,3.04,28,16.4,49,,,66.37,71.2,,,,,,,,,,,,,,,
2013 CBGHB#3-01,VA,Maria x Mountain,VA,Captive Bred,2013,2017,1,3.6,30,16.7,48,,,84.86,78.5,,,,,,,,,,,,,,,
2013 CBGHB#3-04,VA,Maria x Mountain,VA,Captive Bred,2013,2020,0,3.93,32,16.4,50,,,33,,83.64,70.3,113.6,71,137.9,73.7,,,,,,,,,
2013 CBGHB#3-05,VA,Maria x Mountain,VA,Captive Bred,2013,2017,1,2.59,29,9.8,42,,,42.45,63.5,,,,,,,,,,,,,,,
2013 CBGHB#4-02,VA,Maria,VA,Captive Bred,2013,2016,0,3.255,30,18.2,53,,,,,,,,,,,,,,,,,,,
2013 CBGHB#4-03,VA,Maria,VA,Captive Bred,2013,2018,1,4.14,33,15,49,,,78.74,77.4,88.24,73.3,,,,,,,,,,,,,
2013 CBGHB#5-02,VA,Maria,VA,Captive Bred,2013,2016,0,5.36,35,17.9,50,,,,,,,,,,,,,,,,,,,
2013 CBGHB#5-03,VA,Maria,VA,Captive Bred,2013,2018,0,4.61,35,7.2,34,,,44.35,59.1,56.03,64.2,64.5,61.4,,,,,,,,,,,
2013 WCEM03-01,VA,Maria,VA,Wild Caught,2013,2017,0,,,4.05,34,,,35.05,63.9,,,,,,,,,,,,,,,
2013 WCEM03-02,VA,Maria,VA,Wild Caught,2013,2017,0,,,9.87,40,,,44.91,69.2,,,,,,,,,,,,,,,
2013 WCEM05-02,VA,Mountain,VA ,Wild Caught,2013,2016,0,,,8.4,39,,,72.27,69.7,102.2,67.4,,,,,,,,,,,,,
2014 CB ALDERGROVE 02,VA,Aldergrove,VA,Captive Bred,2014,2018,0,,,30.07,56.4,74.39,66.4,80.92,68.3,,,,,,,,,,,,,,,
2014 CB ALDERGROVE 03,VA,Aldergrove,VA,Captive Bred,2014,2017,0,,,32.16,62.4,60.61,67.3,,,,,,,,,,,,,,,,,
2014 CB ALDERGROVE 05,VA,Aldergrove,VA,Captive Bred,2014,2016,1,,,47.82,68.5,,,,,,,,,,,,,,,,,,,
2014 CB ALDERGROVE 06,VA,Aldergrove,VA,Captive Bred,2014,2016,1,,,36.25,59.1,,,,,,,,,,,,,,,,,,,
2014 CBEM01-03,VA,Mountain x Maria,VA,Captive Bred,2014,2022,1,,,,,,,,,95.7,67.8,89.3,66.9,83.32,82.6,49.91,,,,,,,,
2014 CBEM01-04,VA,Mountain x Maria,VA,Captive Bred,2014,unknown,1,4.05,32,,,50.84,67.5,83.2,75.4,,,,,,,,,,,,,,,
2014 CBEM02-02,VA,Maria,VA,Captive Bred,2014,unknown,1,5.09,34,,,70.35,76.4,78.82,72.8,,,,,,,,,,,,,,,
2014 CBEM05-01,VA,Maria,VA,Captive Bred,2014,unknown,1,7.28,36,,,58.2,66.2,76.07,65.6,,,,,,,,,,,,,,,
