ID,pop,source,birth_site,birth_type,birth_yr,death_date,age_yrs,EB,mass0,mass1,mass2,mass3,mass4,mass5,mass6,mass7,mass8,mass9,mass10,mass11,mass12
2008 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2008,08-Apr-18,10,0,,,,,,84.9,92.76,,108.07,106.38,,,
2009 MARIA SLOUGH A6,VA,Maria,MS,Wild Caught,2009,13-Apr-17,8,0,,,,37.4,70.1,66.7,,95.61,,,,,
2010 EM02-03,VA,Morris,MV,Wild Caught,2010,16-Apr-14,4,0,,,,51.8,,,,,,,,,
2010 EM03 - 4,VA,Mountain,MT,Wild Caught,2010,29-Apr-13,3,0,,,27.4,,,,,,,,,,
2010 EM06,VA,Mountain,MT,Wild Caught,2010,17-May-15,5,0,,,,56.6,60.8,,,,,,,,
2010 EM09,VA,Mountain,MT,Wild Caught,2010,28-May-15,5,0,,,,53.8,57.7,,,,,,,,
2011 #1-01,VA,Morris,MV,Wild Caught,2011,15-May-15,4,0,,10.4,21,38.44,,,,,,,,,
2011 #3-01,VA,Morris,MV,Wild Caught,2011,11-May-15,4,0,,3.9,31.7,40.55,,,,,,,,,
2011 #5-01,VA,Morris,MV,Wild Caught,2011,,,0,,9.9,13.4,23.51,,,,,,,,,
2011 #5-05,VA,Morris,MV,Wild Caught,2011,,,0,,6.4,19.2,34.59,,,,,,,,,
2011 CB TANK 2 #3-01,VA,Maria,VA,Captive Bred,2011,14-Apr-15,4,0,,,40.7,49.2,,,,,,,,,
2011 CB TANK 6-01,VA,Maria,VA,Captive Bred,2011,12-May-15,4,0,,8.8,26.2,48,,,,,,,,,
2011 CB Tank 6,VA,Maria,VA,Captive Bred,2011,16-May-15,4,0,,,,,,,,,,,,,
2011 CB TANK 7-#1-02/03,VA,Maria,VA,Captive Bred,2011,27-Apr-15,4,0,,7.7,47.8,59.17,,,,,,,,,
2011 CBGHA#7-03,VA,Maria,VA,Captive Bred,2011,26-Apr-21,10,0,,10.4,43.6,57.05,,101.64,113.17,123.66,121.8,93.82,,,
2011 MOUNTAIN SLOUGH #1 -2,VA,Mountain,MT,Wild Caught,2011,18-May-15,4,0,,11.7,29.8,33.94,,,,,,,,,
2012 CBEM01 GRP3-04,VA,Maria x Mountain,VA,Captive Bred,2012,19-Apr-15,3,0,4.8,10.7,28.6,,,,,,,,,,
2012 CBEM03 GRP2-02,VA,Maria x Mountain,VA,Captive Bred,2012,09-Apr-15,3,0,3.2,8.4,16.5,,,,,,,,,,
2012 WCEM04-01,VA,Mountain,MT,Wild Caught,2012,01-May-20,8,0,4.6,10.5,29.17,,63.04,71.22,79.3,78.9,,,,,
2012 WCEM04-02,VA,Mountain,MT,Wild Caught,2012,25-Apr-16,4,0,4.7,11.6,19.73,,,,,,,,,,
2012 WCEM05-02,VA,Mountain,MT,Wild Caught,2012,12-May-15,3,0,5.7,6.9,34.19,,,,,,,,,,
2012 WCEM09-02,VA,Morris,MV,Wild Caught,2012,27-Apr-22,10,0,4.3,8.4,14.09,,60.34,76.12,84,79.4,72.4,77.95,,,
2013 CBGHB#10-01,VA,Mountain,VA,Captive Bred,2013,24-Apr-17,4,0,3.04,16.4,,66.37,,,,,,,,,
2013 CBGHB#3-04,VA,Maria x Mountain,VA,Captive Bred,2013,09-May-20,7,0,3.93,16.4,,33,83.64,113.6,137.9,,,,,,
2013 CBGHB#4-02,VA,Maria,VA,Captive Bred,2013,26-Apr-16,3,0,3.255,18.2,,,,,,,,,,,
2013 CBGHB#5-02,VA,Maria,VA,Captive Bred,2013,10-Apr-16,3,0,5.36,17.9,,,,,,,,,,,
2013 CBGHB#5-03,VA,Maria,VA,Captive Bred,2013,19-Apr-18,5,0,4.61,7.2,,44.35,56.03,64.5,,,,,,,
2013 WCEM03-01,VA,Maria,VA,Wild Caught,2013,2017,4,0,,4.05,,35.05,,,,,,,,,
2013 WCEM03-02,VA,Maria,VA,Wild Caught,2013,2017,4,0,,9.87,,44.91,,,,,,,,,
2013 WCEM05-02,VA,Mountain,VA ,Wild Caught,2013,13-Apr-16,3,0,,8.4,,72.27,102.2,,,,,,,,
2014 CB ALDERGROVE 02,VA,Aldergrove,VA,Captive Bred,2014,02-May-18,4,0,,30.07,74.39,80.92,,,,,,,,,
2014 CB ALDERGROVE 03,VA,Aldergrove,VA,Captive Bred,2014,12-Apr-17,3,0,,32.16,60.61,,,,,,,,,,
2015 CBEM06-02,VA,Maria,VA,Captive Bred,2015,22-Apr-21,6,0,,54.53,95.97,95.2,103.3,80.75,,,,,,,
