frog_id,pop,birth_yr,EB,mass_pre20,length_pre20,svl_pre20,mass_post21,length_post21,svl_post21,mass_pre_21,svl_pre21
982000405718886 ,GVZ,,1,78.4,75,75,55.1,67.1,67.10,57.3,73.3
982000405718893 ,GVZ,,1,72,75,75,,,,78.2,78.1
982000405718896 ,GVZ,,1,58.4,74,74,43.1,70.44,70.44,60.2,66.8
982000405718899 ,GVZ,,1,60.2,73,73,43.7,62.45,62.45,50.6,80.1
982000405718903 ,GVZ,,1,52.6,72,72,55.2,75.85,75.85,56.2,73.7
982000405718906 ,GVZ,,1,57.3,79,79,42.9,66.76,66.76,75.5,72.6
982000405718936 ,GVZ,,1,47.7,69,69,33.2,70.95,70.95,47.8,62.5
982000405718943 ,GVZ,,1,48,65,65,39.4,59.05,59.05,81.5,77.5
982000405718954 ,GVZ,,1,59.6,70,70,41.6,75.8,75.80,57.3,74.6
982000405718960 ,GVZ,,1,50.6,72,72,38.6,73.09,73.09,56.0,72.1
982000405718975 ,GVZ,,1,66.9,80,80,56.3,82.3,82.30,69.7,75.9
982000406275045 ,GVZ,2019,1,33.1,60,60,24.2,63.7,63.70,61.7,71.9
982000406275166 ,GVZ,2019,1,42.2,68,68,29.7,68.18,68.18,57.7,80.5
982000406275219 ,GVZ,2019,1,34.8,61,61,25.0,64.99,64.99,42.5,65.3
982000406275573 ,GVZ,,1,59.6,74,74,38.4,71.12,71.12,44.2,81.3
982000406275582 ,GVZ,,1,49.15,67,67,35.5,63.68,63.68,48.2,73.2
982000406275586 ,GVZ,,1,42.9,71,71,,,,35.3,66.4
982000406275601 ,GVZ,,1,50,69,69,39.4,71.88,71.88,66.6,67.3
982000406275605 ,GVZ,,1,47.3,67,67,34.1,69.66,69.66,49.3,66.4
982000406275625 ,GVZ,,1,38.5,70,70,28.6,70.34,70.34,42.4,70.6
982000406276914 ,GVZ,2019,1,38.5,65,65,27.4,68.82,68.82,54.9,72.5
982091062767464 ,GVZ,2019,1,37.7,60,60,29.1,65.45,65.45,43.9,82.5
982091062767466 ,GVZ,2019,1,46.1,69,69,29.4,65.97,65.97,53.5,69.3
982091062767471 ,GVZ,2019,0,31.1,66,66,21.6,60.39,60.39,39.1,74.7
982091062767480 ,GVZ,2019,1,30.8,60,60,23.8,61.79,61.79,,
