frog_id,pop,source,birth_site,birth_type,birth_yr,death_date,age_yrs,EB,mass2,mass3,mass4,mass5,mass6,mass7,mass8,mass9,mass10,mass11,mass12,mass13
982000405718886 ,GVZ,,,,unk,,,1,,55.1,53,,,,,,,,,
982000405718893 ,GVZ,,,,unk,,,1,,,70.2,,,,,,,,,
982000405718896 ,GVZ,,,,unk,,,1,,43.1,58.3,,,,,,,,,
982000405718899 ,GVZ,,,,unk,,,1,,43.7,44.8,,,,,,,,,
982000405718903 ,GVZ,,,,unk,,,1,,55.2,53.4,,,,,,,,,
982000405718906 ,GVZ,,,,unk,,,1,,42.9,72.1,,,,,,,,,
982000405718936 ,GVZ,,,,unk,,,1,,33.2,46.1,,,,,,,,,
982000405718943 ,GVZ,,,,unk,,,1,,39.4,78.4,,,,,,,,,
982000405718954 ,GVZ,,,,unk,,,1,,41.6,53.4,,,,,,,,,
982000405718960 ,GVZ,,,,unk,,,1,,38.6,38,,,,,,,,,
982000405718975 ,GVZ,,,,unk,,,1,,56.3,68,,,,,,,,,
982000406275045 ,GVZ,,MS,Wild Caught,2019,,3,1,24.2,61.7,,,,,,,,,,
982000406275166 ,GVZ,,MS,Wild Caught,2019,,3,1,29.7,56.9,,,,,,,,,,
982000406275219 ,GVZ,,MS,Wild Caught,2019,,3,1,25,42.2,,,,,,,,,,
982000406275486 ,GVZ,,,,unk,2020,,1,,31.2,,,,,,,,,,
982000406275573 ,GVZ,,,,unk,,,1,,38.4,38.8,,,,,,,,,
982000406275582 ,GVZ,,,,unk,,,1,,35.5,43.7,,,,,,,,,
982000406275586 ,GVZ,,,,unk,,,1,,,32.7,,,,,,,,,
982000406275601 ,GVZ,,,,unk,,,1,,39.4,62.1,,,,,,,,,
982000406275605 ,GVZ,,,,unk,,,1,,34.1,49,,,,,,,,,
982000406275625 ,GVZ,,,,unk,,,1,,28.6,39,,,,,,,,,
982000406276914 ,GVZ,,MS,Wild Caught,2019,,3,1,27.4,50.4,,,,,,,,,,
982091062767464 ,GVZ,,MS,Wild Caught,2019,,3,1,29.1,43.6,,,,,,,,,,
982091062767466 ,GVZ,,MS,Wild Caught,2019,,3,1,29.4,51.2,,,,,,,,,,
982091062767471 ,GVZ,,MS,Wild Caught,2019,05-Apr-22,3,0,21.6,36.7,,,,,,,,,,
982091062767480 ,GVZ,,MS,Wild Caught,2019,2021,2,1,23.8,,,,,,,,,,,
982091062767483 ,GVZ,,MS,Wild Caught,2019,20-Apr-22,3,0,27.8,49,,,,,,,,,,
982091062767487 ,GVZ,,MS,Wild Caught,2019,,3,1,21,36.2,,,,,,,,,,
982091062767497 ,GVZ,,MS,Wild Caught,2019,27-Apr-22,3,0,30.3,47.2,,,,,,,,,,
982091062767503 ,GVZ,,MS,Wild Caught,2019,,3,1,24.2,42.1,,,,,,,,,,
982091062767506 ,GVZ,,MS,Wild Caught,2019,,3,1,27.4,37.1,,,,,,,,,,
982091062767510 ,GVZ,,MS,Wild Caught,2019,,3,1,24.1,44.7,,,,,,,,,,
982091062767525 ,GVZ,,MS,Wild Caught,2019,,3,1,29.6,81.5,,,,,,,,,,
982091062767530 ,GVZ,,MS,Wild Caught,2019,,3,1,24.6,49.8,,,,,,,,,,
982091062767538 ,GVZ,,MS,Wild Caught,2019,,3,1,27.4,45.7,,,,,,,,,,
982091062767544 ,GVZ,,MS,Wild Caught,2019,,3,1,36.8,46.3,,,,,,,,,,
982091062767556 ,GVZ,,MS,Wild Caught,2019,,3,1,26.8,48.3,,,,,,,,,,
982091062969331 ,GVZ,,,,unk,,,1,,42.7,67.4,,,,,,,,,
982091062969340 ,GVZ,,,,unk,,,1,,28.5,42.3,,,,,,,,,
982091062969363 ,GVZ,,,,unk,,,1,,32.1,50.9,,,,,,,,,
982091062969372 ,GVZ,,,,unk,,,1,,46.7,49.3,,,,,,,,,
982091062969388 ,GVZ,,,,unk,Mar-21,,1,,41.7,,,,,,,,,,
982091062969392 ,GVZ,,,,unk,,,1,,35.2,44.1,,,,,,,,,
43939 ,TZ,Aldergrove,AD,Wild Caught,2004,19-Jul-11,7,1,,,,,117,75.1,,,,,,
43940 ,TZ,Aldergrove,AD,Wild Caught,2004,07-Aug-14,10,1,,,,,56,72.9,89.3,98.6,68.4,,,
43941 ,TZ,Aldergrove,AD,Wild Caught,2004,22-Dec-10,6,0,,,,,108,78.9,,,,,,
43942 ,TZ,Aldergrove,AD,Wild Caught,2004,14-Nov-10,6,1,,,,,86,,,,,,,
43943 ,TZ,Aldergrove,AD,Wild Caught,2004,18-Mar-10,6,0,,,,,75,,,,,,,
43952 ,TZ,Maria,MS,Wild Caught,2009,23-May-13,4,1,25.1,28.8,33.7,,,,,,,,,
45491 ,TZ,Maria,MCB,Captive Bred,2009,07-May-14,5,0,,51.7,66.7,64.6,,,,,,,,
45492 ,TZ,Maria,MCB,Captive Bred,2009,21-Apr-16,7,1,,43.4,41.9,50,55.9,42,,,,,,
45493 ,TZ,Maria,MCB,Captive Bred,2009,10-Jul-13,4,1,,64.3,65,61.4,,,,,,,,
45495 ,TZ,Maria,MCB,Captive Bred,2009,07-Jun-15,6,1,,33.4,47.1,61,63.5,,,,,,,
45496 ,TZ,Maria,MCB,Captive Bred,2009,29-Aug-17,8,1,,40.6,46.3,63.1,59,44.7,39,,,,,
45498 ,TZ,Maria,MCB,Captive Bred,2009,25-May-13,4,0,,45.3,64,,,,,,,,,
45499 ,TZ,Maria,MCB,Captive Bred,2009,30-Oct-16,7,0,,18,42,61.7,63.9,74.7,,,,,,
45500 ,TZ,Maria,MCB,Captive Bred,2009,NA,13,1,,44.6,48.4,69.1,65.8,72.2,61,71.7,70.9,82.8,70.6,90.7
45502 ,TZ,Maria,MCB,Captive Bred,2009,12-Jul-22,13,1,,36.3,48.9,60,56.1,65.2,58,60.8,58,67.8,53.6,72.1
45507 ,TZ,Mountain,MCB,Captive Bred,2009,04-Jan-20,11,1,,40.4,61.7,60.9,72.9,78.9,71,74.4,80.8,,,
45509 ,TZ,Mountain,MCB,Captive Bred,2009,16-Sep-12,3,0,,44.4,,,,,,,,,,
45510 ,TZ,Mountain,MCB,Captive Bred,2009,23-May-17,8,1,,44,52.3,64,54.9,63.8,48,,,,,
45511 ,TZ,Mountain,MCB,Captive Bred,2010,29-Jul-21,11,1,,27.1,27.1,36.5,37.9,59.8,59,63.5,66.7,77.1,67.5,
45513 ,TZ,Mountain,MCB,Captive Bred,2009,13-Mar-21,12,1,,41.9,40,48.9,46.6,55.1,36,53.8,47.6,47.4,,
50621 ,TZ,,,Wild Caught,2014,19-Apr-19,5,0,,,105,114.3,,,,,,,,
50622 ,TZ,,,Wild Caught,2014,09-Apr-19,5,1,,,74,71.6,,,,,,,,
50623 ,TZ,,,Wild Caught,2016,18-Apr-19,3,0,59,56.8,,,,,,,,,,
50624 ,TZ,McLennan,ML,Wild Caught,2015,NA,7,1,43.86,65,63.7,61,57.8,90.8,,,,,,
50625 ,TZ,,,Wild Caught,2017,21-Apr-19,2,0,44,,,,,,,,,,,
