frog_id,date,source,VIE,age,mass,svl,shank
982000406275172,2021-03-11,Maria Slough,LO,2,33.6,63.0,30.6
982000406275553,2021-03-17,Maria Slough,LO,2,23.3,57.0,29.3
982000406276255,2017-03-10,Morris Valley,dye,3,47.9,76.5,36.0
982091062767759,2021-03-15,Chaplin Road,LG,1,36.6,61.0,33.8
985153000292541,2012-03-26,Maria Slough,RG,3,39.8,70.0,34.2
985153000292541,2015-03-06,Maria Slough,RG,6,50.0,84.5,36.7
985153000293416,2012-03-19,Maria Slough,,7,47.3,77.0,34.4
985153000293416,2015-03-08,Maria Slough,,10,62.8,99.5,37.5
985153000294708,2012-03-19,Maria Slough,,3,56.1,73.0,35.4
985153000294889,2012-03-18,Maria Slough,,4,42.0,71.7,34.7
